idCliente;clienteNome;clienteContato;clienteCidade;idPais
10;Big Foot Shoes;James Hendersson;Tsawassen;CAN
11;Shoe Expert;David Foot;London;GBR
127;Stephanies;Staffan Blond;Stockholm;SWE
12;Los Pantalones Magicos;Victoria Abril;Buenos Aires;ARG
13;Los Sombreros Gigantes;Speedy Gonzales;México D.F.;MEX
14;Das Alpen Shoe;Alfred Neumann;Bern;CHE
15;Tendha do Flamengo;Edson Arantes do Nascimento;São Paulo;BRA
16;The sharped dressed man;Ian Wright;London;GBR
17;Gluderstedt;Lars von Holstein;Aachen;DEU
18;Aujourd´hui;Pierre Chardin;Nantes;FRA
19;Th Fashing;Greg Thatcher;London;GBR
1;Eintrach GS;Albert von Einstein;Berlin;DEU
20;Ski Store;Lars Saalbach;Graz;AUT
21;Cloe do Pau;Romario do Sauza;São Paulo;BRA
22;La Camisas Cansadas;Filemón;Madrid;ESP
23;Champes;Jaques Wilneuve;Lille;FRA
24;Sport & Fritid AB;Linda Haglund;Bräcke;SWE
25;Halle Köln;Dieter Köln;München;DEU
26;Le Sais de Rión;Jeanne d´Anjou;Nantes;FRA
27;Il Pantaloni di la Cammorra;Don Corleone;Torino;ITA
28;El Traige do Benfica;Vitor Baiha;Lisboa;PRT
29;El Chandal del Barca;Jusep del pep;Barcelona;ESP
2;La Tienda de la Esquina;Paco el Maco;México D.F.;MEX
30;Los Trajes de Matador;El Cordobes;Sevilla;ESP
31;Paintho da Gama;Anna Figo;Campinas;BRA
32;The Corner Store;Ross The Boss;Eugene;USA
33;El Abrigo Mortal;Antonio Palmer Amer;Caracas;VEN
34;El Carnevale;Joe do Pintho;Rio de Janeiro;BRA
35;El Zapato Rojo;Nicolas Balines;San Cristóbal;VEN
36;Pulp Toxedos;Marcellus Wallace;Elgin;USA
37;Boleros;Robert Bolero;Cork;IRL
38;King Size Clothes;Al Yankovic;Cowes;GBR
39;Noch Einmal GMBH;Dieter Rummernige;Brandenburg;DEU
3;La Ropa Vieja;Sancho Panza;México D.F.;MEX
40;La Boheme;Philippe de Laval;Versailles;FRA
41;Elle Fashion & Design;Louise Davu;Toulouse;FRA
42;Millenium;Joe Barry;Vancouver;CAN
43;For The Dark Night;Klaus Tarantino;Walla Walla;USA
44;Warp AG;Klaus Deum;Frankfurt a.M.;DEU
45;Bobby Socks;Vincent Vega;San Francisco;USA
46;Los Vatos Locos;Tony Montana;Barquisimeto;VEN
47;El Pirata;Andrés Barbanegra;I. de Margarita;VEN
48;Too Hot 4U;Andrea Pamelsson;Portland;USA
49;La Moda d'il Futuri;Luca Brassi;Bergamo;ITA
4;Dr Jims Trousers;Carl Montgomery;London;GBR
50;De la Vita;Marco Van Deum;Bruxelles;BEL
51;Davenport Fashion;James Belucci;Montréal;CAN
52;Kohl Industries AG;Helmuth Klein;Leipzig;DEU
53;Fawtly Towers;John Cleez;London;GBR
54;Los Espandrilos Fantasticos;Don Gerardo;Buenos Aires;ARG
55;SSS-Sport Shoes Store;Al Bundy;Anchorage;USA
56;Casual Clothing;Herman Schlusse;Köln;DEU
58;La Moda Pasada;Francisca Font Barceló;México D.F.;MEX
59;Extrawagens;Herbert Bernstorf;Salzburg;AUT
5;Urras Shop;Urra Gurra Aktersnurra;Luleå;SWE
60;La Roba do Santho;Leopoldo Samba;Lisboa;PRT
61;Copacabana;Giovanni Santhos;Rio de Janeiro;BRA
62;Roba di Piel;Jorge Alemaio;São Paulo;BRA
63;Grunewald;George Essen;Cunewalde;DEU
64;Ropa total;Emerson Fittipaldi;Buenos Aires;ARG
65;X-Site;Malcolm X;Albuquerque;USA
66;Sport Shop;Anna Bella;Reggio Emilia;ITA
67;Da Bikini Expertu;Thomá Lindao;Rio de Janeiro;BRA
68;Golden Design Group;Carl Perry;Genève;CHE
69;La Moda Alucinante;Emilio Ilegal;Madrid;ESP
6;Man Kleider;Herman Hinschler;Mannheim;DEU
70;Alles Lusekofter;Akkurat Jonny;Stavern;NOR
71;Sunny Ski Store;Perry Farell;Boise;USA
72;Fast Sunglasses;Ray Banned;London;GBR
73;Rode & Vite;Preben Elkjaer;København;DNK
74;Chateau de Ville;André Millard;Paris;FRA
75;Macalena;Paul Smith;Lander;USA
76;Belgium Black Jeans;Cheril Cow;Charleroi;BEL
77;Eye Fashion;Charles Oakley;Portland;USA
78;TTT-The Ticky Tie;Mary Stone;Butte;USA
79;Boombastic;Heinz Disco;Münster;DEU
7;Menàge à Trois;Julie Binoché;Strasbourg;FRA
80;Don Balón;Peloto Gomez;México D.F.;MEX
81;Merced do Vaile;Mercedes Couto;São Paulo;BRA
82;Bond Ltd;Mark Stark;Kirkland;USA
84;Art et Fashion;Pierre Robert;Lyon;FRA
85;Pour l´homme;Henry Renault;Reims;FRA
86;Autokleider;Ralf Schumaker;Stuttgart;DEU
87;Perkii Urkii;Miiko Heikillä;Oulu;FIN
88;Da Santho Cosmethia;Mariah Erdi;Resende;BRA
89;Nirvana Stores;Alice Chain;Seattle;USA
8;Las Corbatas;Julio Iglesias;Madrid;ESP
90;Leningrad Cowboys Shop;Reijoo Haajanen;Helsinki;FIN
91;Slotzy Danz;Boniekk Wallessa;Warszawa;POL
9;La Legion Mercenaire;Bernard de Gaule;Marseille;FRA
