idProduto;produtoNome;idCategoria;idFornecedor
10;Sapporoo Gloves;8;4
11;Desperado Jeans;1;5
12;Tiny Winy Hot Bikini;4;5
13;Aino Shoes;8;6
14;Kool Sunglasses;7;6
15;Sumi Underwear;2;6
16;Wimbledon T-Shirt;3;7
17;TieBreak Tennis shoes;6;7
18;Deuce shirt;8;7
19;Squash Shorts;3;8
1;Lenin Jeansshorts;1;1
20;Tennis Suit;3;8
21;Basket Shoes;3;8
22;Ravellis Träskor;5;9
23;DSW;5;9
24;Samba Socker  Socks;1;10
25;Basket Vest;3;11
26;Bike Helmet;3;11
27;Tracksuit;3;11
28;RDL Suit;7;12
29;Davenport;6;12
2;Mr X Trousers;1;1
30;Baby Dark Lounge Suit;8;13
31;Rossi Bermuda Shorts;4;14
32;Rossi Bikkini;4;14
33;Car Boots;3;15
34;Baywatch Bikkini;4;16
35;LA. Shorts;4;16
36;Mehmet-Tröja;8;17
37;Mehmet-Skor;8;17
38;Le Baby Dress;2;18
39;Terence Top;2;18
3;Chantell Shirt;2;1
40;Duck Trousers;8;19
41;Duck Shirt;8;19
42;Balett Shoes;5;20
43;Summer Shorts;4;20
44;Okkaba Skin Jackets;2;20
45;Danske Treshoe;6;21
46;Rodbye Troje;8;21
47;Lundenhagen Boots;6;22
48;Root Boot;6;22
49;Finnish Sport Blades;3;23
4;Oyaki Kimono;2;2
50;Finnish Swimsuit;3;23
51;Snake Boots;6;24
52;Small Crocodile Boots;5;24
53;Jumpin Jack Flash Dress;2;24
54;Patamonia Fleece Jacket;3;25
55;Feiss Fleece Trousers;3;25
56;High Heels Shoes;5;26
57;Burned Rubber Shoes;5;26
58;Ga-Ga Dress;8;27
59;Rasta WCT;3;28
5;O-Man Underwear;1;2
60;Game Over T-Shirt;3;28
61;Adihash Running Shoe;3;29
62;Sheat Shoes;3;29
63;Serve-Shirt;2;7
64;WFS shoes;5;12
65;Stretch oui-pants;2;2
66;Langoste Shirt;2;2
67;X-Dress;2;16
68;Cap;3;8
69;Racing Truck  Socks;3;15
6;Shagall Socks;2;3
70;US-Master Jeans;1;7
71;Atles Lussekofta;1;15
72;Rossi Shorts;4;14
73;Mehmet-Napp;8;17
74;Nikee Running Shoes;7;4
75;Bow tie;1;12
76;Minnki Pälsii;2;23
77;Skirt;2;12
7;Conserve Shoes;7;3
8;Tuxedo;2;3
9;Fuji Boots;6;4
